Battle,Date,State,CWSAC,Outcome
Battle of Big Mound,"July 24-25, 1863",North Dakota (Dakota Territory at the time),C,* Dakota War of 1862: Union forces defeat Santee and Teton Sioux forces.
Battle of Dead Buffalo Lake,"July 26, 1863",North Dakota (Dakota Territory at the time),D,* Sioux Wars/Dakota War of 1862: Sibley defeats Sioux forces.
Battle of Salineville,"July 26, 1863",Ohio,D,Union victory: Confederate Brigadier General John Hunt Morgan surrenders in Ohio. The northernmost battle in the Civil War.
Battle of Stony Lake,"July 28, 1863",North Dakota (Dakota Territory  at the time),D,* Dakota War of 1862: Sioux forces escape Union forces in pursuit.
Second Battle of Fort Sumter,"August 17 - September 9, 1863",South Carolina,B,Confederate victory: Union's massive bombardment and naval attack fails to retake the fort.
Second Battle of Charleston Harbor,"August 17 - September 8, 1863",South Carolina,B,Inconclusive:
Second Battle of Chattanooga,"August 21 - September 8, 1863",Tennessee,D,Union victory: Union captures town.
Lawrence Massacre  (Quantrill's Raid),"August 23, 1863",Kansas,C,Confederate victory: Quantrill's Raiders pillage the city.
Battle of Devil's Backbone,"September 1, 1863",Arkansas,C,Union victory: Union victory after heavy fighting.
Battle of Whitestone Hill,"September 3-5, 1863",North Dakota (Dakota Territory  at the time),D,* Sioux Wars/Dakota War of 1862: Union forces defeat several American Indian tribes including the Sioux and Blackfeet.
Second Battle of Sabine Pass,"September 8, 1863",Texas,B,Confederate victory: Confederate forces place stakes in river to help aim their guns at Union ships.
Battle of Bayou Fourche,"September 10, 1863",Arkansas,B,Union victory: Union victory allows for capture of Little Rock.
Battle of Davis's Cross Roads,"September 10-11, 1863",Georgia,C,Union victory: Union forces establish defensive positions prior to Chickamauga.
Battle of Chickamauga,"September 19-20, 1863",Georgia,A,"Confederate victory: Bragg defeats Rosecrans, George Thomas of US anointed ""The Rock of Chickamauga"""
Battle of Blountville (Battle of Blountsville),"September 22, 1863",Tennessee,D,Union victory: Union forces capture town.
Battle of Stirling's Plantation,"September 29, 1863",Louisiana,D,Confederate victory:
Battle of Baxter Springs,"October 6, 1863",Kansas,C,Confederate victory: Quantrill's Raiders massacre Union Black Troops during U.S. Civil War.
Battle of Blue Springs,"October 10, 1863",Tennessee,D,Union victory: Confederate forces overrun.
First Battle of Auburn,"October 13, 1863",Virginia,D,Union victory: J.E.B. Stuart escapes by hiding in a ravine.
Battle of Bristoe Station,"October 14, 1863",Virginia,B,"Union victory: Meade defeats elements of Lee's forces, but Confederates destroy railroad during retreat."
Second Battle of Auburn,"October 14, 1863",Virginia,D,"Inconclusive: Confederates attack Union rearguard, indecisive."
Battle of Fort Brooke,"October 16-18, 1863",Florida,D,Union victory:
Battle of Buckland Mills,"October 19, 1863",Virginia,D,"Confederate victory: Union cavalry caught in ambush, defeated."
Battle of Pine Bluff,"October 25, 1863",Arkansas,D,Union victory: Confederate attack fails.
Battle of Wauhatchie,"October 28-29, 1863",Tennessee,B,Union victory: Longstreet defeated by Union forces.
Battle of Collierville,"November 3, 1863",Tennessee,D,Union victory: Abortive Confederate attack on the town.
Battle of Droop Mountain,"November 6, 1863",West Virginia,C,Union victory:
Second Battle of Rappahannock Station,"November 7, 1863",Virginia,B,"Union victory: Union forces surge across river, forcing Lee to retreat."
Battle of Campbell's Station,"November 16, 1863",Tennessee,D,Union victory: Confederate double-envelopment attempt fails.
Chattanooga Campaign,"November 23-25, 1863",Tennessee,A,Union victory: Grant defeats Braxton Bragg and relieves Union forces besieged in Chattanooga.
Battle of Mine Run,"November 27 - December 2, 1863",Virginia,B,Inconclusive: Meade bombards Lee's Confederates but then withdraws.
Battle of Ringgold Gap,"November 27, 1863",Georgia,B,Confederate victory: Confederates under Patrick Cleburne defeat Union forces under Joseph Hooker.
Battle of Fort Sanders,"November 29, 1863",Tennessee,B,Union victory: Longstreet unable to take fort due to poor quality gunpowder.
Battle of Bean's Station,"December 14, 1863",Tennessee,D,Confederate victory: Union forces withdraw a short distance.
Battle of Mossy Creek,"December 29, 1863",Tennessee,D,Union victory: Confederate cavalry forced back.
Battle of Dandridge,"January 17, 1864",Tennessee,C,Confederate victory: Union forces withdraw.
Battle of Athens,"January 26, 1864",Alabama,D,Union victory: Union victory in Northern Alabama.
Battle of Fair Garden,"January 27, 1864",Tennessee,C,Inconclusive: Union victory followed by withdrawal.
Battle of Morton's Ford,"February 6-7, 1864",Virginia,D,Inconclusive: Diversionary Union attack.
Battle of Middle Boggy Depot,"February 13, 1864",Oklahoma (Indian Territory at the time),D,Union victory:
Battle of Meridian,"February 14-20, 1864",Mississippi,C,Union victory: Sherman occupies town.
Battle of Olustee,"February 20, 1864",Florida,B,Confederate victory: Union fails to take Florida.
Battle of Okolona,"February 22, 1864",Mississippi,B,"Confederate victory: Confederate cavalry, commanded by Maj. Gen. Nathan Bedford Forrest, routed 7,000 cavalry under the command of Brig. Gen. William Sooy Smith."
First Battle of Dalton,"February 22-27, 1864",Georgia,C,"Confederate victory: After several days of intense skirmishing, Maj. Gen. George H. Thomas's army withdrew upon realizing Gen. Joseph E. Johnston's troops could repel any assault. However, the intelligence garnered from the Battle of Dalton helped pave the way for a Union victory in the summer."
Battle of Walkerton,"March 2, 1864",Virginia,C,Confederate victory: controversy surrounding the Dahlgren Affair.
Battle of Fort De Russy,"March 12-14, 1864",Louisiana,B,Union victory: Fort DeRussy fell and the Red River to Alexandria was open.
Battle of Paducah,"March 25, 1864",Kentucky,C,Confederate victory: Confederate raid by Forrest successful.
Battle of Elkin's Ferry,"April 3-4, 1864",Arkansas,C,Union victory: Confederates unable to prevent Union river crossing.
Battle of Mansfield or Sabine Cross Roads,"April 8, 1864",Louisiana,A,Confederate victory: Banks Union Red River Campaign halted by the Confederates.
Battle of Prairie D'Ane,"April 9-13, 1864",Arkansas,B,Union victory: Frederick Steele defeats Sterling Price.
Battle of Pleasant Hill,"April 9, 1864",Louisiana,B,Union victory: Confederate attack fails.
Battle of Fort Pillow,"April 12, 1864",Tennessee,B,"Confederate victory: N.B. Forrest takes fort, massacres black soldiers."
Battle of Blair's Landing,"April 12-13, 1864",Louisiana,C,Union victory:
Battle of Plymouth,"April 17, 1864",North Carolina,C,"Confederate victory: Confederate land forces, supported by naval ram, retake two Union forts near Plymouth, North Carolina."
Battle of Poison Spring,"April 18, 1864",Arkansas,C,"Confederate victory: Part of Red River Campaign in Arkansas, black troops massacred."
Battle of Monett's Ferry,"April 23, 1864",Louisiana,C,Union victory: Confederate forces driven back.
Battle of Marks' Mills,"April 25, 1864",Arkansas,D,Confederate victory: Part of Red River Campaign in Arkansas.
Battle of Jenkins' Ferry,"April 30, 1864",Arkansas,C,Union victory: Part of Red River Campaign in Arkansas.
Battle of Albemarle Sound,"May 5, 1864",North Carolina,C,Inconclusive: Indecisive naval battle during U.S. Civil War.
Battle of the Wilderness,"May 5-7, 1864",Virginia,A,Inconclusive: Grant and Lee meet inconclusively.
Battle of Port Walthall Junction,"May 6-7, 1864",Virginia,C,Union victory: Union forces destroy railroad
Battle of Rocky Face Ridge,"May 7-13, 1864",Georgia,C,"Union victory: Due to a flanking movement by Union troops under Maj. Gen. William Tecumseh Sherman, Confederates led by Gen. Joseph E. Johnston were forced to evacuate their strong position near Atlanta."
Battle of Spotsylvania Court House,"May 8-21, 1864",Virginia,A,"Inconclusive: Grant and Lee meet inconclusively, Grant writes to Halleck ""I propose to fight it out on this line if it takes all summer""."
Battle of Swift Creek,"May 9, 1864",Virginia,C,"Inconclusive: Union forces damage railroad, but are stopped by Confederate forces."
Battle of Cloyd's Mountain,"May 9, 1864",Virginia,C,"Union victory: Union victory, Confederate General Albert G. Jenkins killed."
Battle of Chester Station,"May 10, 1864",Virginia,D,Inconclusive: Union forces under Benjamin Butler pushed back.
Battle of Cove Mountain,"May 10, 1864",Virginia,D,Union victory: Union victory after brief battle.
Battle of Yellow Tavern,"May 11, 1864",Virginia,C,"Union victory: Union forces win cavalry battle, J.E.B. Stuart is mortally wounded."
Battle of Proctor's Creek,"May 12-16, 1864",Virginia,B,Confederate victory: Beauregard defeats Butler.
Battle of Resaca,"May 13, 1864",Georgia,C,Inconclusive: Sherman defeats Johnston
Battle of New Market,"May 15, 1864",Virginia,B,Confederate victory: Confederate forces halt Union army under Franz Sigel from advance up the Shenandoah Valley.
Battle of Mansura,"May 16, 1864",Louisiana,C,Union victory:
Battle of Adairsville,"May 17, 1864",Georgia,C,Union victory: Failed Confederate attempt to destroy part of the Union force approaching Atlanta.
Battle of Yellow Bayou,"May 18, 1864",Louisiana,C,Union victory:
Battle of Ware Bottom Church,"May 20, 1864",Virginia,C,Confederate victory: Beauregard boxes Butler in.
Battle of North Anna,"May 23-26, 1864",Virginia,B,"Inconclusive: Lee outmaneuvers Grant, but because of illness, he is unable to capitalize."
Battle of Wilson's Wharf,"May 24, 1864",Virginia,D,Union victory: Confederates under Fitzhugh Lee defeated by two Union black regiments.
Battle of New Hope Church,"May 25-26, 1864",Georgia,C,Confederate victory: Hooker's forces defeated.
Battle of Dallas (Georgia),"May 26 - June 4, 1864",Georgia,C,Union victory: Confederate withdrawal in Georgia.
Battle of Pickett's Mill,"May 27, 1864",Georgia,C,Confederate victory: Unsuccessful attack by Sherman on Johnston.
Battle of Haw's Shop,"May 28, 1864",Virginia,C,Union victory: Union advance halted.
Battle of Totopotomoy Creek,"May 28-30, 1864",Virginia,B,Inconclusive: Union forces pushed back.
Battle of Old Church,"May 30, 1864",Virginia,C,Union victory: Union forces drive Confederates back to Cold Harbor.
Battle of Cold Harbor,"May 31 - June 12, 1864",Virginia,A,"Confederate victory: Lee repulses Grant, Confederate general says ""This is not war, this is murder""."
Battle of Piedmont,"June 5, 1864",Virginia,B,"Union victory: Union forces under David Hunter defeat Confederate defenses on march to Staunton, Virginia, upper Shenandoah Valley."
Battle of Old River Lake,"June 6, 1864",Arkansas,D,Union victory:
Battle of Marietta,"June 6 - July 3, 1864",Georgia,B,Union victory: Sherman defeats Johnston.
First Battle of Petersburg,"June 9, 1864",Virginia,D,Confederate victory: Beauregard defeats Butler.
Battle of Brice's Crossroads,"June 10, 1864",Mississippi,B,Confederate victory: N.B. Forrest routs Union force almost three times as large.
Battle of Cynthiana,"June 11-12, 1864",Kentucky,C,"Union victory: Union Brig. Gen. Stephen Gano Burbridge defeated Confederate Brig. Gen. John Hunt Morgan. Most Confederate soldiers were casualties, though Morgan escaped."
Battle of Trevilian Station,"June 11-12, 1864",Virginia,B,"Confederate victory: Confederate victory, George Armstrong Custer nearly surrounded and has to be rescued by Sheridan."
Second Battle of Petersburg,"June 15-18, 1864",Virginia,A,Confederate victory: Lee repulses Grant at back door to Richmond.
Battle of Lynchburg,"June 17-18, 1864",Virginia,B,Confederate victory: Fake Confederate reinforcements lead to Union retreat.
Battle of Jerusalem Plank Road,"June 21-24, 1864",Virginia,B,Inconclusive: Union siege lines extended for Siege of Petersburg.
Battle of Kolb's Farm,"June 22, 1864",Georgia,C,Union victory: Confederate attack fails due to poor terrain conditions.
Battle of Saint Mary's Church,"June 24, 1864",Virginia,D,Inconclusive: Union forces fight a successful delaying action.
Battle of Staunton River Bridge,"June 25, 1864",Virginia,C,Confederate victory:
Battle of Kennesaw Mountain,"June 27, 1864",Georgia,B,Confederate victory: Johnston repulses Sherman.
Battle of Sappony Church,"June 28, 1864",Virginia,D,Confederate victory:
First Battle of Ream's Station,"June 29, 1864",Virginia,C,"Confederate victory: Maj. Gen. William Mahone and Brig. Gen. Fitzhugh Lee defeated Union cavalry raiding Confederate railroads south of Petersburg, Virginia."
Battle of Monocacy (Battle of Monocacy Junction),"July 9, 1864",Maryland,B,"Confederate victory: Union Gen. Lew Wallace slows up Jubal Early, saving DC."
Battle of Fort Stevens,"July 11-12, 1864",District of Columbia,B,"Union victory: Failed Confederate attempt to capture Washington, D.C., President Lincoln, observing the battle, comes under Confederate fire."
Battle of Tupelo,"July 14-15, 1864",Mississippi,B,Union victory: Confederate forces under Stephen D. Lee are defeated and Nathan Bedford Forrest is wounded in action.
Battle of Cool Spring,"July 18-19, 1864",Virginia,C,Confederate victory:
Battle of Peachtree Creek,"July 20, 1864",Georgia,B,Union victory: (Atlanta Campaign) First Confederate attack against Union forces north of Atlanta fails.
Battle of Rutherford's Farm,"July 20, 1864",Virginia,D,Union victory: Confederates under Jubal Early caught by surprise and defeated.
Battle of Atlanta,"July 22, 1864",Georgia,B,Union victory: (Atlanta Campaign) Sherman turns back Hood's attack east of Atlanta.
Second Battle of Kernstown,"July 24, 1864",Virginia,B,Confederate victory: Jubal Early defeats Union forces.
First Battle of Deep Bottom,"July 27-29, 1864",Virginia,C,Confederate victory:
Battle of Ezra Church,"July 28, 1864",Georgia,B,"Union victory: (Atlanta Campaign) Confederate attack on Union army northwest of Atlanta fails to gain element of surprise, finding entrenched Union forces. Union victory."
Battle of Killdeer Mountain,"July 28-29, 1864",North Dakota (Dakota Territory  at the time),C,* Sioux Wars/Dakota War of 1862: Union forces defeat Sioux.
Battle of the Crater,"July 30, 1864",Virginia,A,Confederate victory: Lee defeats Burnside.
Battle of Folck's Mill,"August 1, 1864",Maryland,D,Inconclusive: Indecisive Civil War battle.
Battle of Mobile Bay,"August 2-23, 1864",Alabama,A,"Union victory: David Farragut takes port, says ""Damn the torpedoes, full speed ahead""."
Battle of Utoy Creek,"August 5-7, 1864",Georgia,C,Inconclusive: (Atlanta Campaign) Indecisive battle on Union right flank near Atlanta.
Battle of Moorefield,"August 7, 1864",West Virginia,C,Union victory:
Second Battle of Dalton,"August 14-15, 1864",Georgia,D,Union victory: Union forces withstand attack until relieved.
Second Battle of Deep Bottom,"August 14-20, 1864",Virginia,B,"Confederate victory: The Confederates drove back the Union threat, but at a cost of diluting their forces as the Union had hoped."
Battle of Guard Hill,"August 16, 1864",Virginia,C,Inconclusive:
Battle of Globe Tavern,"August 18-21, 1864",Virginia,B,Union victory: Confederate forces lose control of railroads at Petersburg.
Battle of Lovejoy's Station,"August 20, 1864",Georgia,D,Confederate victory: Confederates repel Union raiders attacking the station.
Second Battle of Memphis,"August 21, 1864",Tennessee,C,Union victory: Partially successful Confederate raid.
Battle of Summit Point,"August 21, 1864",West Virginia,D,Inconclusive:
Second Battle of Ream's Station,"August 25, 1864",Virginia,B,Confederate victory: Union lines overrun by Confederates.
Battle of Smithfield Crossing,"August 25-29, 1864",West Virginia,D,Inconclusive:
Battle of Jonesborough,"August 31 - September 1, 1864",Georgia,A,"Union victory: William J. Hardee's Confederates defeated, resulting in Atlanta's fall the following day."
Battle of Berryville,"September 3-4, 1864",Virginia,C,"Inconclusive: At the same time Confederate Lt. Gen. Jubal A. Early sent Maj. Gen. Joseph B. Kershaw's division to attack Colonel Joseph Thoburn's division of the VIII Corps, and Kershaw initially routed Thoburn's left flank. Darkness ended the fighting. The next morning, Early, seeing the strength of the Union's entrenched line, retreated behind Opequon Creek."
Battle of Opequon (Third Battle of Winchester),"September 19, 1864",Virginia,A,"Union victory: Sheridan defeats Early, several officers killed or wounded on both sides."
Battle of Fisher's Hill,"September 21-22, 1864",Virginia,B,Union victory: Successful Union frontal assault.
Battle of Fort Davidson,"September 27, 1864",Missouri,B,Union victory: Union forces detonate their own fort after losing to Confederates.
Battle of Chaffin's Farm  (New Market Heights),"September 29-30, 1864",Virginia,B,"Union victory: Union forces victorious, but fail to capture several forts."
Battle of Peebles' Farm,"September 30 - October 2, 1864",Virginia,B,Union victory: Union victory near Petersburg.
First Battle of Saltville,"October 1-3, 1864",Virginia,C,"Confederate victory: Confederates defeat Union Black Cavalry, war crimes committed against captured blacks."
Battle of Allatoona,"October 5, 1864",Georgia,B,Union victory: Union fortifications hold.
Battle of Darbytown and New Market,"October 7, 1864",Virginia,C,Union victory:
Battle of Tom's Brook,"October 9, 1864",Virginia,C,Union victory: Union cavalry defeats Confederates.
Battle of Darbytown Road,"October 13, 1864",Virginia,D,Confederate victory: Federal assault on Confederate fortifications repulsed with heavy casualties.
Battle of Glasgow,"October 15, 1864",Missouri,C,Confederate victory: Union forces surrender.
Second Battle of Lexington,"October 19, 1864",Missouri,D,Confederate victory: Union forces driven out of town.
Battle of Cedar Creek,"October 19, 1864",Virginia,A,"Union victory: Sheridan defeats Early, drives Confederates from Shenandoah Valley."
Battle of Little Blue River,"October 21, 1864",Missouri,D,Confederate victory: Confederate victory in Missouri.
Battle of Byram's Ford,"October 22-23, 1864",Missouri,B,Union victory: Confederates under Marmaduke defeated.
Second Battle of Independence,"October 22, 1864",Missouri,C,Confederate victory: Union forces occupy town.
Battle of Westport,"October 23, 1864",Missouri,A,Union victory: Union forces win decisive battle to take control of Missouri.
Battle of Marais des Cygnes,"October 25, 1864",Kansas,C,Union victory: Price's Confederates pursued into Kansas.
Battle of Mine Creek,"October 25, 1864",Kansas,C,"Union victory: Price's army crushed, flees back into Missouri."
Battle of Marmiton River,"October 25, 1864",Missouri,D,Union victory: Price escapes Union pursuit.
Battle of Decatur,"October 26-29, 1864",Alabama,C,Union victory: Confederates unable to cross river.
Battle of Boydton Plank Road,"October 27-28, 1864",Virginia,B,"Inconclusive: Union forces take control of road, but withdraw after battle."
Battle of Fair Oaks & Darbytown Road,"October 27-28, 1864",Virginia,C,Confederate victory:
Second Battle of Newtonia,"October 28, 1864",Missouri,B,Union victory: James G. Blunt defeats Joseph O. Shelby.
Battle of Johnsonville,"November 4-5, 1864",Tennessee,B,Confederate victory: Confederates bombard Union forces during the night after a fire starts near union positions.
Battle of Bull's Gap,"November 11-13, 1864",Tennessee,D,Confederate victory: Minor Confederate victory during U.S. Civil War.
Battle of Griswoldville,"November 22, 1864",Georgia,B,Union victory: Sherman's march to the sea continued.
Battle of Columbia,"November 24, 1864",Tennessee,C,Confederate victory: Confederates divert attention.
Battle of Buck Head Creek,"November 28, 1864",Georgia,C,Union victory:
Battle of Spring Hill,"November 29, 1864",Tennessee,B,"Union victory: Confederate mistakes allow Federal forces to redeploy, leading to the Battle of Franklin."
Sand Creek massacre,"November 29, 1864",Colorado (Colorado Territory at the time),B,* Colorado War: U.S. forces massacre Cheyenne and Arapaho.
Battle of Honey Hill,"November 30, 1864",South Carolina,C,Confederate victory: The third battle of Sherman's March to the Sea was a failed Union Army expedition under Maj. Gen. John P. Hatch that attempted to cut off the Charleston and Savannah Railroad in support of Sherman's projected arrival in Savannah.
Battle of Franklin (1864),"November 30, 1864",Tennessee,A,Union victory: Hood attacks Schofield but suffers crushing losses; Pickett's Charge of the West.
"Battle of Waynesboro, Georgia","December 4, 1864",Georgia,C,Union victory: Kilpatrick stops Wheeler from attacking Sherman.
Third Battle of Murfreesboro,"December 5-7, 1864",Tennessee,D,Union victory: Confederate raid mostly unsuccessful.
First Battle of Fort Fisher,"December 7-27, 1864",North Carolina,C,Confederate victory: Failed Union attempt to take fort.
Second Battle of Fort McAllister,"December 13, 1864",Georgia,B,Union victory:
Battle of Nashville,"December 15-16, 1864",Tennessee,A,Union victory: Thomas attacks and virtually destroys Hood's Confederate Army of Tennessee.
Battle of Marion,"December 17-18, 1864",Virginia,D,Union victory:
Second Battle of Saltville,"December 20-21, 1864",Virginia,C,"Union victory: Confederate forces retreated, and General George Stoneman's troops entered the town and destroyed the saltworks."
Second Battle of Fort Fisher,"January 13-15, 1865",North Carolina,A,Union victory: Union takes fort.
Battle of Rivers' Bridge,"February 3, 1865",South Carolina,D,Union victory: Union forces capture river crossing.
Battle of Hatcher's Run,"February 5-7, 1865",Virginia,B,Union victory: Union force launch unexpected attack.
Battle of Wilmington(North Carolina),"February 22, 1865",North Carolina,D,Union victory: Last Confederate port falls.
"Battle of Waynesboro, Virginia","March 2, 1865",Virginia,B,Union victory: Remnants of Confederate Army of the Valley are destroyed.
Battle of Natural Bridge,"March 6, 1865",Florida,C,Confederate victory: Confederate victory in Florida prevents the capture of Tallahassee.
Battle of Wyse Fork,"March 7-10, 1865",North Carolina,D,Union victory: Confederate attacks repelled by Union artillery.
Battle of Monroe's Cross Roads,"March 10, 1865",North Carolina,D,Inconclusive:
Battle of Averasborough,"March 16, 1865",North Carolina,C,"Inconclusive: Union and Confederate forces attack one another in turn, both attacks fail."
Battle of Bentonville,"March 19-21, 1865",North Carolina,A,Union victory: Sherman defeats Confederates
Battle of Fort Stedman,"March 25, 1865",Virginia,A,Union victory: Lee attempts to break siege.
Battle of Spanish Fort,"March 27 - April 8, 1865",Alabama,B,Union victory: Union forces capture fort just east of Mobile.
Battle of Lewis's Farm,"March 29, 1865",Virginia,C,Union victory: Union forces capture Confederate earthworks.
Battle of White Oak Road,"March 31, 1865",Virginia,B,Union victory: Confederate forces under Richard H. Anderson defeated.
Battle of Dinwiddie Court House,"March 31, 1865",Virginia,C,Confederate victory: Pickett defeats Sheridan.
Battle of Five Forks,"April 1, 1865",Virginia,A,Union victory: Sheridan routs Confederates.
Battle of Selma,"April 2, 1865",Alabama,B,Union victory: Wilson defeats Forrest.
Third Battle of Petersburg,"April 2, 1865",Virginia,A,Union victory: Grant defeats Lee.
Battle of Sutherland's Station,"April 2, 1865",Virginia,C,Union victory: Lee's supply lines are cut.
Battle of Namozine Church,"April 3, 1865",Virginia,D,"Confederate victory: Several Confederates captured, Custer's brother earns Medal of Honor."
Battle of Amelia Springs,"April 5, 1865",Virginia,C,Inconclusive:
Battle of Rice's Station,"April 6, 1865",Virginia,D,Union victory:
Battle of Sayler's Creek (or Sailor's Creek),"April 6, 1865",Virginia,B,Union victory: Lee realizes his army is on the verge of defeat.
Battle of High Bridge,"April 6-7, 1865",Virginia,C,"Inconclusive: Union forces thwart Lee's attempts to burn bridges and to resupply, Grant proposes that Lee surrender, but he refuses."
Battle of Cumberland Church,"April 7, 1865",Virginia,C,"Confederate victory: Union forces attack Confederate rearguard, but darkness cuts the attack short."
Battle of Appomattox Station,"April 8, 1865",Virginia,B,Union victory: Union forces thwart Lee's final attempt to resupply.
Battle of Appomattox Court House,"April 9, 1865",Virginia,A,Union victory: Lee's forces surrounded. He subsequently surrenders.
Battle of Fort Blakeley,"April 9, 1865",Alabama,A,Union victory: Union forces capture fort east of Mobile.
Battle of Palmito Ranch,"May 12-13, 1865",Texas,D,Confederate victory: Last battle in Texas during final phases of the Civil War.
